"","...1","id_play","Week","game_id","pos_team","def_pos_team","pos_team_score","def_pos_team_score","kicker_player_name","yds_fg","pts_scored","fgm","fga","fg_make_prob","fg_inds","FG_before","play_text","EPA","wpa","half","period","clock.minutes","clock.seconds","down","distance","yards_to_goal","fg_made","play_type"
"627",629,4.01425451103e+17,2,401425451,"Southeast Missouri State","Southern Illinois",14,10,"DC Pippin",50,0,0,1,0.484598845866931,1,0.484598845866931,"DC Pippin 50 yd FG MISSED",-1.45379653760079,-0.0045483,1,2,0,4,4,6,33,FALSE,"Field Goal Missed"
"628",630,401425451103958016,2,401425451,"Southeast Missouri State","Southern Illinois",17,16,"DC Pippin",50,3,1,1,0.484598845866931,1,0.51968047926385,"DC Pippin 50 yd FG GOOD",2.83961802338052,0.025965,2,3,4,19,4,10,33,TRUE,"Field Goal Good"
"629",631,401425451104854400,2,401425451,"Southeast Missouri State","Southern Illinois",20,17,"DC Pippin",45,3,1,1,0.58355174014756,1,0.613616451855283,"DC Pippin 45 yd FG GOOD",2.10259209531009,0.0009946,2,4,14,55,4,10,28,TRUE,"Field Goal Good"
"630",632,401426332101956288,2,401426332,"Coastal Carolina","Gardner-Webb",3,0,"Kade Hensley",48,3,1,1,0.525812504955746,1,0.559834402594323,"Kade Hensley 48 yd FG GOOD",2.53581874052696,0.0852833,1,1,4,36,4,7,31,TRUE,"Field Goal Good"
"631",633,401426332102938304,2,401426332,"Gardner-Webb","Coastal Carolina",3,3,"Jay Billingsley",47,3,1,1,0.545617805175857,1,0.565493595802944,"Jay Billingsley 47 yd FG GOOD",2.27052861219183,0.0950893,1,2,6,16,4,10,30,TRUE,"Field Goal Good"
"632",634,401426332103988416,2,401426332,"Gardner-Webb","Coastal Carolina",20,24,"Jay Billingsley",29,3,1,1,0.846304110922688,1,0.861014800476811,"Jay Billingsley 29 yd FG GOOD",0.646900854756725,0.0097914,2,3,1,15,4,4,12,TRUE,"Field Goal Good"
"633",635,401426544101944192,2,401426544,"Texas State","Florida International",3,0,"Seth Keller",31,3,1,1,0.817196105671127,1,0.8365896006927,"Seth Keller 31 yd FG GOOD",0.701519404908023,0.0137698,1,1,5,57,4,4,14,TRUE,"Field Goal Good"
"634",636,4.01426544102e+17,2,401426544,"Florida International","Texas State",3,10,"Chase Gabriel",38,3,1,1,0.706259503651492,1,0.728067925050055,"Chase Gabriel 38 yd FG GOOD",1.51133609791157,0.0411865,1,1,0,0,4,6,21,TRUE,"Field Goal Good"
"635",637,401426544102964416,2,401426544,"Texas State","Florida International",20,3,"Mason Shipley",54,3,1,1,0.399229874449276,1,0.421823364844341,"Mason Shipley 54 yd FG GOOD",2.71743346732434,0.0739729,1,2,3,55,4,19,37,TRUE,"Field Goal Good"
"636",638,401426544102999296,2,401426544,"Florida International","Texas State",6,20,"Chase Gabriel",49,3,1,1,0.505448138230005,1,0.511388743882587,"Chase Gabriel 49 yd FG GOOD",2.10578582696097,-0.0060806,1,2,0,6,4,2,32,TRUE,"Field Goal Good"
"637",639,4.01426547103e+17,2,401426547,"Louisiana Tech","Stephen F. Austin",38,7,"Jacob Barnes",18,3,1,1,0.954673259253857,1,0.954673259253857,"Jacob Barnes 18 yd FG GOOD",0.13598022223843,0.003787,1,2,0,0,2,1,1,TRUE,"Field Goal Good"
"638",640,401426547103968512,2,401426547,"Stephen F. Austin","Louisiana Tech",7,52,"Chris Campos",32,3,1,1,0.802171025258863,1,0.814017332155807,"Chris Campos 32 yd FG GOOD",1.26704797913207,0.0002219,2,3,3,14,4,10,15,TRUE,"Field Goal Good"
"639",641,401426548101949696,2,401426548,"Middle Tennessee","Colorado State",10,0,"Zeke Rankin",25,3,1,1,0.897879661726428,1,0.910478691186774,"Zeke Rankin 25 yd FG GOOD",0.290130148101711,0.0100695,1,1,5,2,4,8,8,TRUE,"Field Goal Good"
